City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,qaanaaq,77.48,-69.36,5.14,75,0,4.47,GL,1589008426
1,barrow,71.29,-156.79,21.2,85,90,10.29,US,1589008426
2,vila franca do campo,37.72,-25.43,59.0,100,75,10.29,PT,1589008427
3,meadow lake,34.8,-106.54,59.0,26,20,11.41,US,1589008427
4,hilo,19.73,-155.09,75.2,73,20,3.36,US,1589008416
5,ribeira grande,38.52,-28.7,60.8,93,75,11.41,PT,1589008428
6,wanning,18.8,110.4,88.66,69,0,16.26,CN,1589008428
7,mattawa,46.74,-119.9,57.0,76,5,4.7,US,1589008428
8,albany,42.6,-73.97,34.0,60,99,1.01,US,1589008428
9,kanel,15.49,-13.18,89.6,24,0,4.7,SN,1589008429
10,rikitea,-23.12,-134.97,75.99,67,52,4.92,PF,1589008429
11,busselton,-33.65,115.33,66.0,38,0,3.96,AU,1589008429
12,broome,42.25,-75.83,28.0,79,90,11.41,US,1589008429
13,aklavik,68.22,-135.01,39.2,55,5,10.29,CA,1589008430
14,khatanga,71.97,102.5,31.26,98,100,15.52,RU,1589008430
15,nanortalik,60.14,-45.24,37.15,76,0,8.12,GL,1589008430
16,bengkulu,-3.8,102.27,85.33,73,77,9.13,ID,1589008431
17,vostok,46.49,135.88,63.07,37,100,2.46,RU,1589008431
18,jamestown,42.1,-79.24,24.8,68,20,12.75,US,1589008431
19,baruun-urt,46.68,113.28,59.05,35,87,12.15,MN,1589008431
20,hithadhoo,-0.6,73.08,85.15,78,100,14.38,MV,1589008432
21,fortuna,40.6,-124.16,53.01,100,90,3.36,US,1589008432
22,zhigansk,66.77,123.37,24.24,91,100,6.91,RU,1589008432
23,zharkent,44.16,80.0,83.16,15,100,5.88,KZ,1589008432
24,upernavik,72.79,-56.15,20.07,93,100,9.98,GL,1589008433
25,hermanus,-34.42,19.23,62.24,81,17,11.43,ZA,1589008433
26,leningradskiy,69.38,178.42,31.82,94,100,10.51,RU,1589008433
27,te anau,-45.42,167.72,52.63,85,100,4.03,NZ,1589008433
28,chokurdakh,70.63,147.92,31.69,98,100,6.67,RU,1589008433
29,thompson,55.74,-97.86,24.8,73,5,5.82,CA,1589008434
30,koosa,58.53,27.08,48.99,81,40,8.05,EE,1589008434
